Date,Year,Quarter,Target name,Investors / Buyers,Type,Category,AI,"Size, $m",% acquired,Sector,Segment,Target's Country,Region,Target Founded,Gender,Target's Website,Short Deal Description,Deal Link,Amount_Status,IG_ID,Mapped_Type,Mapped_Category,arc_id,arc_status,arc_name,arc_also_known_as,arc_aliases,arc_type,arc_founded,arc_hq_country,arc_hq_region,arc_ownership,arc_sector,arc_segment,arc_features,arc_specialization,arc_aum,arc_parent_company,arc_transactions_count,arc_was_added,arc_created_by,arc_was_changed,arc_modified_by,arc_search_index
02/02/2020,2020,Q1'20,Gamelancer,Undisclosed,Seed round,Early-stage VC,No,0.8,,Platform&Tech,Platform,Canada,North America,2019.0,Men,https://gamelancer.com/home,Canada-based streaming platform GameLancer has raised $800k of Seed funding,https://www.sec.gov/Archives/edgar/data/1801816/000180181620000001/xslFormDX01/primary_doc.xml,DISCLOSED,51,seed,Early-stage investment,452.0,IMPORTED,Gamelancer,,,Strategic / CVC,2019.0,Canada,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:09,,21/06/2025 20:09,,
03/02/2020,2020,Q1'20,Shotcall,Techstars,Accelerator/Incubator,Early-stage VC,No,0.02,,Platform&Tech,Platform,United States,North America,2018.0,Men,www.shotcall.gg,Company target is creating meaningful engagement and media opportunities through gaming and streaming,https://www.geekwire.com/2020/techstars-seattle-reveals-10-new-startups-11th-cohort/,DISCLOSED,53,accelerator / grant,Early-stage investment,771.0,IMPORTED,Shotcall,,,Strategic / CVC,2018.0,USA,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
05/02/2020,2020,Q1'20,Zeuz.io,Improbable,Control,M&A,No,0.0,100.0,Platform&Tech,Tech,Germany,Western Europe,2017.0,Men,www.zeuz.io,"Games technology company Improbable announces today that it has acquired online game hosting company, zeuz. Based in Munich, Germany, zeuz was founded in 2017 by co-CEOs Manuel Karg and Markus Schneider, COO Sebastian Reckzeh and Roberto Omezzolli, building on 15 years of game server hosting experience, and currently employs more than 30 staff.",https://improbable.io/blog/improbable-acquires-zeuz,UNDISCLOSED,59,m&a control (incl. lbo/mbo),M&A,3185.0,IMPORTED,Zeuz.io,,,Strategic / CVC,2017.0,Germany,Western Europe,Private,Platform & Tech,,,Generalist,,,0.0,29/06/2025 13:59,,29/06/2025 13:59,,
10/02/2020,2020,Q1'20,Yager,"Tencent (SEHK: 700), Win-Win Fund",Corporate,Corporate,No,0.0,,Gaming,PC&Console,Germany,Western Europe,1999.0,Men,www.yager.de,"Spec Ops: The Line developer Yager has received a strategic investment from gaming monolith Tencent. Tencent has invested an undisclosed sum in the Berlin-based developer, which will retain its full independence.",https://www.gamesindustry.biz/articles/2020-02-10-yager-receives-strategic-investment-from-tencent,UNDISCLOSED,65,undisclosed late-stage,Late-stage investment,178.0,ENABLED,Yager,,,Strategic / CVC,1999.0,Germany,Western Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,Tencent,0.0,18/04/2025 19:09,naumvano@gmail.com,18/04/2025 19:09,naumvano@gmail.com,
11/02/2020,2020,Q1'20,Clipwire Games,Applovin Corp (NASDAQ: APP),Corporate,Corporate,No,0.0,,Gaming,Mobile,Canada,North America,2008.0,Men,www.clipwiregames.com,"Clipwire Games is a fast-growing, Toronto-based mobile game developer that has been making hit titles such as Bingo Story since 2008",https://gameworldobserver.com/2020/02/12/applovin-invests-clipwire-games-geewa/,UNDISCLOSED,66,undisclosed late-stage,Late-stage investment,1144.0,IMPORTED,Clipwire Games,,,Strategic / CVC,2008.0,Canada,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
11/02/2020,2020,Q1'20,GamerzClass,500 Startups,Accelerator/Incubator,Early-stage VC,No,0.11,6.0,Esports,Esports,Denmark,Western Europe,2019.0,Men,https://gamerzclass.com/ ,GamerzClass raised $100k as part of 500 Startups program,https://nordic9.com/news/gamerzclass-raised-100k-as-part-of-500-startups-program-news3557153576/,DISCLOSED,67,accelerator / grant,Early-stage investment,679.0,IMPORTED,GamerzClass,,,Strategic / CVC,2019.0,Denmark,Nordic Countries,Private,Esports,,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
11/02/2020,2020,Q1'20,Geewa,"Applovin Corp (NASDAQ: APP), Kohlberg Kravis Roberts (NYS: KKR), Nimble Ventures, Orient Hontai Capital",Corporate,Corporate,No,0.0,,Gaming,Mobile,Czech Republic,Eastern Europe,2007.0,Men,www.geewa.com,"Founded in 2005, Geewa is a Prague-based global developer and publisher of casual, competitive multiplayer mobile games, including the popular game Smashing Four.",https://gameworldobserver.com/2020/02/12/applovin-invests-clipwire-games-geewa/,UNDISCLOSED,68,undisclosed late-stage,Late-stage investment,664.0,IMPORTED,Geewa,,,Strategic / CVC,2007.0,Czechia,Eastern Europe,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:09,,21/06/2025 20:09,,
11/02/2020,2020,Q1'20,Rewardify,Undisclosed,"PIPE, Other",Public offering,No,2.16,,Gaming,Mobile,United States,North America,2013.0,Women,https://rewardify.com/,"California-based mobile game developer Rewardify, Inc. has raised $2,159,999, with minimum investment accepted from any outside investor being $10,000. The total number of 3 investors have invested in the offering.",https://sec.report/Document/0001802498-20-000001/,DISCLOSED,70,pipe,Public offering,1145.0,IMPORTED,Rewardify,,,Strategic / CVC,2013.0,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
12/02/2020,2020,Q1'20,Double Loop Games,"London Venture Partners (lead) / 1UP Ventures, Ed Fries",Seed round,Early-stage VC,No,2.5,35.71,Gaming,Mobile,United States,North America,2019.0,Women,https://www.doubleloopgames.com/,"Double Loop Games raises over $2.5m for mobile games. LVP leads investment in push to make relaxing, connective titles for everyone",https://www.gamesindustry.biz/articles/2020-02-12-double-loop-games-raises-over-usd2-5m-for-mobile-games,DISCLOSED,73,seed,Early-stage investment,774.0,IMPORTED,Double Loop,DoubleLoop Games,,Strategic / CVC,2019.0,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
12/02/2020,2020,Q1'20,Spil Games,Azerion,Control,M&A,No,0.0,100.0,Gaming,Multiplatform,The Netherlands,Western Europe,2001.0,Men,www.spilgames.com,Azerion acquires remainder of Spil Games. Dutch firm takes complete ownership having previously purchased mobile division,https://www.gamesindustry.biz/articles/2020-02-12-azerion-acquires-remainder-of-spil-games,UNDISCLOSED,75,m&a control (incl. lbo/mbo),M&A,3081.0,IMPORTED,Spil Games,,,Strategic / CVC,2001.0,Netherlands,Western Europe,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0.0,29/06/2025 13:49,,29/06/2025 13:49,,
13/02/2020,2020,Q1'20,Versus Systems,Undisclosed,"PIPE, Other",Public offering,No,0.6,,Platform&Tech,Tech,United States,North America,2013.0,Men,https://www.versussystems.com/,"Vancouver-based B2B software platform Versus Systems closed a non-brokered private placement through the issuance of 2,400,000 units at a price of $0.25 per Unit, generating aggregate gross proceeds of $600,000. Each Unit is comprised of one common share in the capital of the Company and one-half of one common share purchase warrant. Each whole warrant entitles the holder to purchase one common share at a price of $0.40 per share for 12 months following the date of issue.",https://ca.finance.yahoo.com/news/versus-systems-closes-private-placement-220000361.html,DISCLOSED,76,pipe,Public offering,674.0,IMPORTED,Versus Systems,CNSX:VS,"Versus Systems (CNSX:VS),Versus Systems Inc. (CNSX:VS)",Strategic / CVC,2014.0,USA,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:10,,28/08/2025 20:41,sergeyevdokimov1@gmail.com,"Versus Systems, CNSX:VS, US, North America, https://www.versussystems.com/"
19/02/2020,2020,Q1'20,Starbreeze (STO: STAR B),Digital Bros (MIL: DIB),"PIPE, Other",Public offering,No,21.3,23.0,Gaming,PC&Console,Sweden,Western Europe,1998.0,Men,https://www.starbreeze.com,"Starbreeze has raised more than $5 million to fund the development of games, with the production Payday 3 a significant factor behind doing so. According to an official filing today, the Swedish company has issued more than 32.9 million new class A shares, the sale of which will raise SEK 51.3 million ($5.23 million).",https://www.digitalbros.com/wp-content/uploads/2020/02/2020-02-26_Digital-Bros-acquires-all-SH-assets-in-Starbreeze-AB.pdf,DISCLOSED,82,pipe,Public offering,670.0,IMPORTED,Starbreeze,STO: STAR B,Starbreeze (STO: STAR B),Strategic / CVC,1998.0,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,1.0,21/06/2025 20:09,,21/06/2025 20:09,,
20/02/2020,2020,Q1'20,OasisVR,"5Y Capital (lead) / Vitalbridge, BAI Capital",Seed round,Early-stage VC,No,0.0,,Gaming,VR/AR,China,Asia,2018.0,,https://store.steampowered.com/app/1163130/Oasis_VR/,Social Metaverse Platform Oasis Receives Tens of Millions of Dollars in Financing,https://pandaily.com/social-metaverse-platform-oasis-receives-tens-of-millions-of-dollars-in-financing/,UNDISCLOSED,86,seed,Early-stage investment,776.0,IMPORTED,OasisVR,,,Strategic / CVC,2018.0,China,Eastern Asia,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
21/02/2020,2020,Q1'20,Lanslot,Undisclosed,Seed round,Early-stage VC,No,0.36,,Platform&Tech,Platform,France,Western Europe,2018.0,Men,https://lanslot.app/,"France-based free mobile app Lanslot developer SAS LANSLOT has raised EUR 330,000 from 45 investors as part of a nine months fundraising. The web version, available on computers with the Chrome browser, will be operational by the end of the summer.",https://www.leparisien.fr/seine-et-marne-77/champs-sur-marne-levee-de-fonds-reussie-pour-lanslot-l-appli-qui-reunit-les-gamers-31-03-2020-8291619.php,DISCLOSED,88,seed,Early-stage investment,1152.0,IMPORTED,Lanslot,,,Strategic / CVC,2018.0,France,Western Europe,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
27/02/2020,2020,Q1'20,Jiu Zun Digital Interactive Entertainment Group Holdings Limited (SEHK:1961),Undisclosed,IPO,Public offering,No,21.9,10.26,Gaming,Mobile,China,Asia,2011.0,,https://www.jiuzundigital.com/,"Jiu Zun Digital Interactive Entertainment Group Holdings Limited has offered 126 million of shares through the public offering, raising $21,9m",https://4627244d-21e8-4e41-8b53-20c0c411d0c2.usrfiles.com/ugd/462724_a4192f2e62014c9680b6a00166e44b58.pdf,DISCLOSED,94,listing (ipo/spac),Public offering,1157.0,IMPORTED,Jiu Zun Digital,Jiu Zun Digital Interactive Entertainment Group,Jiu Zun Digital Interactive Entertainment Group Holdings Limited (SEHK:1961),Strategic / CVC,2011.0,China,Eastern Asia,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
27/02/2020,2020,Q1'20,MegaFans (Mobile eSports Gaming Fanatics),Undisclosed,Seed round,Early-stage VC,No,1.0,,Platform&Tech,Platform,United States,North America,2017.0,Men,www.megafans.com,"MegaFans (Mobile eSports Gaming Fanatics), a San Diego-area-based mobile eSports platform and gaming company has raised $1 million (USD) in pre-seed funding; $500K in private placement and a $500K line of credit through a private lender.",https://apnews.com/Newswire/b6ec92e22066c85a5c4e2f5cda11ce30,DISCLOSED,95,seed,Early-stage investment,687.0,IMPORTED,MegaFans,Mobile eSports Gaming Fanatics,MegaFans (Mobile eSports Gaming Fanatics),Strategic / CVC,2017.0,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
02/03/2020,2020,Q1'20,EMOTAI,Techstars,Accelerator/Incubator,Early-stage VC,No,0.02,,Platform&Tech,Tech,Portugal,Western Europe,2018.0,Mixed,www.emotai.gg,Techstars Lisbon in partnership with Semapa NEXT will open startup EMOTAI,https://www.startuplisboa.com/newsletter/techstars-lisbon-in-partnership-with-semapa-next,DISCLOSED,99,accelerator / grant,Early-stage investment,1161.0,IMPORTED,EMOTAI,,,Strategic / CVC,2018.0,Portugal,Southern Europe,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
04/03/2020,2020,Q1'20,NACON (PAR: NACON),Undisclosed,IPO,Public offering,No,109.24,21.83,Other,Hardware,France,Western Europe,2019.0,Men,www.nacongaming.com,"NACON, a major player in the design and distribution of video games and gaming accessories, on its listing in Compartment B of Euronext's regulated market in Paris (ticker code: NACON). NACON is a company of the BIGBEN Group founded in 2019 to optimize its know-how through strong synergies in the video game market. By bringing together its 8 development studios, the publishing of AA1 video games, the design and distribution of premium gaming devices, NACON focuses 20 years of expertise at the service of players.",https://www.euronext.com/en/about/media/euronext-press-releases/nacon-celebrates-its-successful-listing-euronext,DISCLOSED,109,listing (ipo/spac),Public offering,778.0,IMPORTED,NACON,PAR: NACON,NACON (PAR: NACON),Strategic / CVC,2019.0,France,Western Europe,Private,Other,,,Generalist,,,8.0,21/06/2025 20:10,,21/06/2025 20:10,,
04/03/2020,2020,Q1'20,	Disruptor Beam - Star Trek Timelines (IP sale),Tilting Point Media,Control,M&A,No,0.0,100.0,Gaming,Mobile,United States,North America,2016.0,,www.tiltingpoint.com/portfolio/star-trek-timelines/,"Tilting Point has acquired Star Trek Timelines, a free-to-play character collection mobile game, from the game's developer Disruptor Beam. It has also hired Disruptor Beam team members to create a new studio, Wicked Realm Games. Star Trek Timelines is a hugely popular character-collection role-playing game (or CCRPG) with 8 million downloads that's made more that $100 million to date.",https://techcrunch.com/2020/03/04/tilting-point-acquires-star-trek-timelines/,UNDISCLOSED,110,m&a control (incl. lbo/mbo),M&A,1166.0,ENABLED,Disruptor Beam - Star Trek Timelines (IP sale),Star Trek Timelines,Star Trek Timelines (Disruptor Beam),Strategic / CVC,2016.0,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:12,,22/08/2025 20:09,sergeyevdokimov1@gmail.com,"Disruptor Beam - Star Trek Timelines (IP sale), Star Trek Timelines, US, North America, http://www.tiltingpoint.com/portfolio/star-trek-timelines/"
09/03/2020,2020,Q1'20,Investment Data Platform from Digi-Capital,Digital Development Management,Control,M&A,No,0.0,100.0,Other,Other,United States,North America,2010.0,,www.ddmagency.com,"Digital Development Management (DDM), the world's leading business and talent agency for video games and digital entertainment, announced that it has acquired the premier gaming industry investment data platform from leading business intelligence company Digi-Capital.",https://www.ddmagency.com/news/digital-development-management-acquires-premier-gaming-industry-investment-data-platform-from-digi-capital/,UNDISCLOSED,116,m&a control (incl. lbo/mbo),M&A,1170.0,IMPORTED,Digi-Capital Platform,Digi-Capital,Investment Data Platform from Digi-Capital,Strategic / CVC,2010.0,USA,North America,Private,Other,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
17/03/2020,2020,Q1'20,Atari,Undisclosed,"PIPE, Other",Public offering,No,3.7,,Gaming,Multiplatform,France,Western Europe,1972.0,Men,https://www.atari.com/,"ATARI has completed the capital increase with preferential subscription rights, raising $3.7m",https://www.globenewswire.com/news-release/2020/03/17/2001609/0/en/ATARI-Completion-of-the-capital-increase-with-preferential-subscription-rights-3-26M-raised.html,DISCLOSED,128,pipe,Public offering,416.0,ENABLED,Atari,,,Strategic / CVC,1972.0,USA,North America,Public,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,13.0,17/05/2025 15:24,naumvano@gmail.com,17/05/2025 15:24,naumvano@gmail.com,
18/03/2020,2020,Q1'20,Zelos,Y Combinator,Series A,Early-stage VC,No,2.8,,Platform&Tech,Platform,United States,North America,2019.0,,www.zelos.gg,"Zelos, an LA-based company lets gamers earn rewards across multiple video games for free",https://techcrunch.com/2020/04/03/zelos-is-like-a-cross-game-battle-pass-rewarding-you-for-completing-challenges-in-games-you-already-play/,DISCLOSED,131,series a,Early-stage investment,1177.0,IMPORTED,Zelos,,,Strategic / CVC,2019.0,USA,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
19/03/2020,2020,Q1'20,Sunspear Games,Undisclosed,Seed round,Early-stage VC,No,0.65,,Gaming,PC&Console,United States,North America,2010.0,Men,https://sunspeargames.com/,SunSpear develops eSports RTS F2P games for PC,https://www.sec.gov/Archives/edgar/data/1807179/000180717920000001/xslFormDX01/primary_doc.xml,DISCLOSED,137,seed,Early-stage investment,1180.0,IMPORTED,Sunspear Games,,,Strategic / CVC,2010.0,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
24/03/2020,2020,Q1'20,Big Run Studios,Galaxy Interactive,Seed round,Early-stage VC,No,1.4,,Gaming,Mobile,United States,North America,2019.0,,www.bigrunstudios.com,"Mobile developer Big Run Studios announced today that it recently completed $1.4M in seed round funding, led by leading interactive content and technology investor Galaxy Interactive via its Galaxy EOS VC Fund.",https://www.gamesindustry.biz/articles/2020-03-24-big-run-studios-raises-usd1-4m-from-galaxy-interactive,DISCLOSED,139,seed,Early-stage investment,3011.0,IMPORTED,Big Run Studios,,,Strategic / CVC,2019.0,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,29/06/2025 13:41,,29/06/2025 13:41,,
24/03/2020,2020,Q1'20,DreamCraft Entertainment,"Makers Fund (lead) / Ludlow Ventures, Fusion Fund",Seed round,Early-stage VC,No,3.0,,Platform&Tech,Tech,United States,North America,2018.0,Mixed,https://www.dreamcraft.com/,Developer of a game development platform intended to assist video game modders to create and monetize games without writing code. The company raised $3 million of seed funding in a deal led by Makers Fund,https://www.thegamingeconomy.com/2020/03/24/cloud-gaming-to-reach-usd56-57bn-by-2027-dreamcraft-raises-usd3m/,DISCLOSED,140,seed,Early-stage investment,784.0,IMPORTED,DreamCraft,DreamCraft Entertainment,,Strategic / CVC,2018.0,USA,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
27/03/2020,2020,Q1'20,Cloud Imperium Games,"Calder Family Office, Investment Technology Group, Snoot Entertainment",Series B+,Late-stage VC,No,17.25,,Gaming,PC&Console,United States,North America,2012.0,,www.cloudimperiumgames.com,"LA-based Cloud Imperium Games has received $17.25m in funding from existing investors Calder Family Office, Snoot Entertainment, and ITG Investment that have exercised a one-time option to purchase additional shares. The same group of investors pulled in $46m (10% stake) at nearly $500m post-money valuation.",https://gamedaily.biz/article/1665/star-citizen-studio-cloud-imperium-raises-another-1725m-bringing-total-funding-to-over-338m,DISCLOSED,144,undisclosed late-stage,Late-stage investment,1183.0,IMPORTED,Cloud Imperium Games,,,Strategic / CVC,2012.0,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,1.0,21/06/2025 20:12,,21/06/2025 20:12,,
