id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index
9196,IS INCOMPLETE,10X Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:37,,2025-08-30 18:53:37,,"10X Capital, notenoughinformation, notenoughinformation"
1289,ENABLED,110 Industries,,,Strategic / CVC,2017,United Kingdom,British Isles,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-06-21 20:13:14,,2025-08-24 08:01:38,vsidv1777@gmail.com,"110 Industries, GB, British Isles, https://www.110industries.com/"
10870,IS INCOMPLETE,111 percent,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:12,,2025-08-30 18:55:12,,"111 percent, notenoughinformation, notenoughinformation"
7993,IS INCOMPLETE,11 Tribes Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:26,,2025-08-30 18:52:26,,"11 Tribes Ventures, notenoughinformation, notenoughinformation"
11215,IS INCOMPLETE,12 Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:33,,2025-08-30 18:55:33,,"12 Ventures, notenoughinformation, notenoughinformation"
2814,IMPORTED,1312 Interactive,,,Strategic / CVC,2024,India,Southern and Central_Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-06-21 20:22:27,,2025-06-21 20:22:27,,
10550,IS INCOMPLETE,13books,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:53,,2025-08-30 18:54:53,,"13books, notenoughinformation, notenoughinformation"
8599,IS INCOMPLETE,150 Merger Corp,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:59,,2025-08-30 18:52:59,,"150 Merger Corp, notenoughinformation, notenoughinformation"
7975,IS INCOMPLETE,1881 S Group AG,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:25,,2025-08-30 18:52:25,,"1881 S Group AG, notenoughinformation, notenoughinformation"
790,IMPORTED,1939 Games,,,Strategic / CVC,2015,Iceland,Nordic Countries,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,2025-06-21 20:10:30,,2025-06-21 20:10:30,,
13,ENABLED,1AM Gaming,,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Gaming,120.0,,5,2025-04-04 08:49:50,naumvano@gmail.com,2025-04-20 12:35:07,idoziru,
214,ENABLED,1C Entertainment,1C,,Strategic / CVC,2005,Poland,Eastern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,Accel,0,2025-04-19 10:25:30,naumvano@gmail.com,2025-05-14 16:07:35,idoziru,
9921,IS INCOMPLETE,1kx,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,8,2025-08-30 18:54:18,,2025-08-30 18:54:18,,"1kx, notenoughinformation, notenoughinformation"
8626,IS INCOMPLETE,1SP Agency,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,2025-08-30 18:53:01,,2025-08-30 18:53:01,,"1SP Agency, notenoughinformation, notenoughinformation"
14,ENABLED,1Up Ventures,1UP,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Gaming,24.0,,47,2025-04-04 08:51:25,naumvano@gmail.com,2025-05-19 17:10:01,vsidv1777@gmail.com,
3419,IMPORTED,1v1Me,,,Strategic / CVC,2020,USA,North America,Private,Other,,Cash/Skill-based/RMG,Generalist,,,0,2025-07-06 10:12:37,,2025-07-06 10:12:37,,"1v1Me, US, North America"
9487,IS INCOMPLETE,200M Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:53,,2025-08-30 18:53:53,,"200M Fund, notenoughinformation, notenoughinformation"
3698,ENABLED,2050 Capital,,,Venture Capital & Accelerators,2015,United Kingdom,British Isles,Private,,,,Generalist,,,1,2025-07-29 14:28:13,vsidv1777@gmail.com,2025-07-29 14:28:13,vsidv1777@gmail.com,"2050 Capital, GB, British Isles, https://www.2050cap.com/"
3531,ENABLED,20VC,Twenty VC Minutes,,Venture Capital & Accelerators,2020,USA,North America,Private,,,,Generalist,400.0,,2,2025-07-22 10:19:03,vsidv1777@gmail.com,2025-07-22 10:19:03,vsidv1777@gmail.com,"20VC, Twenty VC Minutes, US, North America, https://20vc.fund/"
11254,IS INCOMPLETE,212,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:35,,2025-08-30 18:55:35,,"212, notenoughinformation, notenoughinformation"
10050,IS INCOMPLETE,21DAO Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:25,,2025-08-30 18:54:25,,"21DAO Ventures, notenoughinformation, notenoughinformation"
8121,IS INCOMPLETE,23 Studios,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:33,,2025-08-30 18:52:33,,"23 Studios, notenoughinformation, notenoughinformation"
2452,ENABLED,24 Bit Games,,,Strategic / CVC,2012,South Africa,Southern Africa,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,Haveli Investments,0,2025-06-21 20:19:52,,2025-08-30 07:58:42,naumvano@gmail.com,"24 Bit Games, ZA, Southern Africa, https://24bitgames.com/#about"
10150,IS INCOMPLETE,2B Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:30,,2025-08-30 18:54:30,,"2B Ventures, notenoughinformation, notenoughinformation"
11097,IS INCOMPLETE,2CRSi,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:26,,2025-08-30 18:55:26,,"2CRSi, notenoughinformation, notenoughinformation"
10051,IS INCOMPLETE,2enable Partners,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:25,,2025-08-30 18:54:25,,"2enable Partners, notenoughinformation, notenoughinformation"
8223,IS INCOMPLETE,2K Games,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,2025-08-30 18:52:38,,2025-08-30 18:52:38,,"2K Games, notenoughinformation, notenoughinformation"
8537,IS INCOMPLETE,2M Invest,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:56,,2025-08-30 18:52:56,,"2M Invest, notenoughinformation, notenoughinformation"
9799,IS INCOMPLETE,2moon Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:12,,2025-08-30 18:54:12,,"2moon Capital, notenoughinformation, notenoughinformation"
10350,IS INCOMPLETE,2 Punks Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,2025-08-30 18:54:41,,2025-08-30 18:54:41,,"2 Punks Capital, notenoughinformation, notenoughinformation"
1389,IMPORTED,2Up,,,Strategic / CVC,2020,New Zealand,Australia and New_Zealand,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-21 20:13:41,,2025-06-21 20:13:41,,
1563,IMPORTED,2Watch,,,Strategic / CVC,2020,Italy,Southern Europe,Private,Esports,,,Generalist,,,0,2025-06-21 20:14:37,,2025-06-21 20:14:37,,
2665,IMPORTED,2weeks,,,Strategic / CVC,2024,USA,North America,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,2025-06-21 20:21:22,,2025-06-21 20:21:22,,
10964,IS INCOMPLETE,305 Venture,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:18,,2025-08-30 18:55:18,,"305 Venture, notenoughinformation, notenoughinformation"
10933,IS INCOMPLETE,3.0 Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:16,,2025-08-30 18:55:16,,"3.0 Fund, notenoughinformation, notenoughinformation"
7978,IS INCOMPLETE,32-bit Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,12,2025-08-30 18:52:25,,2025-08-30 18:52:25,,"32-bit Ventures, notenoughinformation, notenoughinformation"
1377,IMPORTED,34BigThings,,,Strategic / CVC,2013,Italy,Southern Europe,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,2025-06-21 20:13:38,,2025-06-21 20:13:38,,
9882,IS INCOMPLETE,35V,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:16,,2025-08-30 18:54:16,,"35V, notenoughinformation, notenoughinformation"
11377,IS INCOMPLETE,360 ONE Asset,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:43,,2025-08-30 18:55:43,,"360 ONE Asset, notenoughinformation, notenoughinformation"
11402,IS INCOMPLETE,369 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:44,,2025-08-30 18:55:44,,"369 Capital, notenoughinformation, notenoughinformation"
8220,IS INCOMPLETE,37Games,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:38,,2025-08-30 18:52:38,,"37Games, notenoughinformation, notenoughinformation"
11154,IS INCOMPLETE,37 Interactive Entertainment,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,2025-08-30 18:55:30,,2025-08-30 18:55:30,,"37 Interactive Entertainment, notenoughinformation, notenoughinformation"
10302,IS INCOMPLETE,3Commas Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:38,,2025-08-30 18:54:38,,"3Commas Capital, notenoughinformation, notenoughinformation"
1475,IMPORTED,3D Aim Trainer,,,Strategic / CVC,2019,Belgium,Western Europe,Private,Esports,,,Generalist,,,0,2025-06-21 20:14:09,,2025-06-21 20:14:09,,
3354,ENABLED,3D Realms,,,Strategic / CVC,1987,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-07-05 18:36:03,,2025-07-06 12:37:49,naumvano@gmail.com,"3D Realms, US, North America, https://3drealms.com/"
8676,IS INCOMPLETE,3KBTC Capita,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:04,,2025-08-30 18:53:04,,"3KBTC Capita, notenoughinformation, notenoughinformation"
2631,IMPORTED,3OGS,,,Strategic / CVC,2012,Argentina,South America,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,0,2025-06-21 20:21:09,,2025-06-21 20:21:09,,
10132,IS INCOMPLETE,3one4 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,2025-08-30 18:54:29,,2025-08-30 18:54:29,,"3one4 Capital, notenoughinformation, notenoughinformation"
2479,IMPORTED,3thix,,,Strategic / CVC,2023,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:20:05,,2025-06-21 20:20:05,,
9027,IS INCOMPLETE,3Twelve Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:26,,2025-08-30 18:53:26,,"3Twelve Capital, notenoughinformation, notenoughinformation"
10278,IS INCOMPLETE,42 Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:36,,2025-08-30 18:54:36,,"42 Fund, notenoughinformation, notenoughinformation"
9985,IS INCOMPLETE,4399 Games,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:21,,2025-08-30 18:54:21,,"4399 Games, notenoughinformation, notenoughinformation"
11158,IS INCOMPLETE,4490 Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:30,,2025-08-30 18:55:30,,"4490 Ventures, notenoughinformation, notenoughinformation"
3461,ENABLED,44 Pixels,44 Pixels,,Strategic / CVC,2024,United Kingdom,British Isles,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-07-17 17:38:43,vsidv1777@gmail.com,2025-07-17 17:59:00,vsidv1777@gmail.com,"44 Pixels, 44 Pixels, GB, British Isles, https://44pixels.ai/"
11255,IS INCOMPLETE,468 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:35,,2025-08-30 18:55:35,,"468 Capital, notenoughinformation, notenoughinformation"
10294,IS INCOMPLETE,49ers Enterprises,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:38,,2025-08-30 18:54:38,,"49ers Enterprises, notenoughinformation, notenoughinformation"
3124,IMPORTED,4A Games,,,Strategic / CVC,2006,Malta,Southern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-06-29 13:53:11,,2025-06-29 13:53:11,,
8622,IS INCOMPLETE,4D Factory,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:01,,2025-08-30 18:53:01,,"4D Factory, notenoughinformation, notenoughinformation"
10174,IS INCOMPLETE,4DX Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,2025-08-30 18:54:31,,2025-08-30 18:54:31,,"4DX Ventures, notenoughinformation, notenoughinformation"
3028,IMPORTED,4Good Games,,,Strategic / CVC,2019,Finland,Nordic Countries,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-29 13:44:13,,2025-06-29 13:44:13,,
3462,ENABLED,4XP Games,"4XP Games Ltd, 4XP",,Strategic / CVC,2021,Israel,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-07-17 17:48:59,vsidv1777@gmail.com,2025-09-03 09:16:30,sergeyevdokimov1@gmail.com,"4XP Games, 4XP Games Ltd, 4XP, IL, Middle East"
9933,IS INCOMPLETE,500 Startups,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,4,2025-08-30 18:54:19,,2025-08-30 18:54:19,,"500 Startups, notenoughinformation, notenoughinformation"
8226,IS INCOMPLETE,505 Games,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:52:38,,2025-08-30 18:52:38,,"505 Games, notenoughinformation, notenoughinformation"
2518,ENABLED,505 Games - Control (IP sale),Control,Control IP (505 games),Strategic / CVC,2006,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-06-21 20:20:22,,2025-08-22 20:09:28,sergeyevdokimov1@gmail.com,"505 Games - Control (IP sale), Control, US, North America, https://505games.com/"
1320,IMPORTED,51ias,,,Strategic / CVC,2014,China,Eastern Asia,Private,Platform & Tech,,,Generalist,,,0,2025-06-21 20:13:23,,2025-06-21 20:13:23,,
8509,IS INCOMPLETE,52 Entertainment,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,2025-08-30 18:52:55,,2025-08-30 18:52:55,,"52 Entertainment, notenoughinformation, notenoughinformation"
1655,IMPORTED,54e Dev Studios,,,Strategic / CVC,2019,Canada,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-21 20:15:11,,2025-06-21 20:15:11,,
1476,IMPORTED,5518 Studios,,,Strategic / CVC,2016,USA,North America,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,0,2025-06-21 20:14:09,,2025-06-21 20:14:09,,
1893,IMPORTED,5minlab,,,Strategic / CVC,2013,South Korea,Eastern Asia,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,2025-06-21 20:16:31,,2025-06-21 20:16:31,,
1223,IMPORTED,5th Planet Games,OB:FIVEPG,5th Planet Games (OB:FIVEPG),Strategic / CVC,2011,Denmark,Nordic Countries,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-21 20:12:54,,2025-06-21 20:12:54,,
1976,IMPORTED,5X5 Gaming,,,Strategic / CVC,2020,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:16:58,,2025-06-21 20:16:58,,
3549,ENABLED,5Y Capital,Morningside Venture Capital,,Venture Capital & Accelerators,2008,China,Eastern Asia,Private,,,,Generalist,5000.0,,3,2025-07-22 11:40:38,vsidv1777@gmail.com,2025-07-22 11:40:38,vsidv1777@gmail.com,"5Y Capital, Morningside Venture Capital, CN, Eastern Asia, https://www.5ycap.com/en/about/"
10371,IS INCOMPLETE,645 Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:42,,2025-08-30 18:54:42,,"645 Ventures, notenoughinformation, notenoughinformation"
1186,IMPORTED,6D.ai',,,Strategic / CVC,2017,USA,North America,Private,Platform & Tech,,,Generalist,,,0,2025-06-21 20:12:45,,2025-06-21 20:12:45,,
3651,ENABLED,6th Man Ventures,6MV,,Venture Capital & Accelerators,2021,USA,North America,Private,,,,Generalist,,,8,2025-07-29 09:08:41,vsidv1777@gmail.com,2025-07-29 09:08:41,vsidv1777@gmail.com,"6th Man Ventures, 6MV, US, North America, https://6thman.ventures/"
503,ENABLED,704 Games,,704 Games Company,Strategic / CVC,2014,USA,North America,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,2025-06-21 20:09:18,,2025-08-29 07:33:37,sergeyevdokimov1@gmail.com,"704 Games, US, North America, https://dmracing.org/"
2267,IMPORTED,77Studios,,,Strategic / CVC,2022,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:18:42,,2025-06-21 20:18:42,,
2544,IMPORTED,7 Digital Labs,,,Strategic / CVC,2021,Switzerland,Western Europe,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:20:32,,2025-06-21 20:20:32,,
11124,IS INCOMPLETE,7GC,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:28,,2025-08-30 18:55:28,,"7GC, notenoughinformation, notenoughinformation"
519,IMPORTED,7Sea Esports,,,Strategic / CVC,2020,India,Southern and Central_Asia,Private,Esports,,,Generalist,,,0,2025-06-21 20:09:22,,2025-06-21 20:09:22,,
10558,IS INCOMPLETE,8186 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:53,,2025-08-30 18:54:53,,"8186 Capital, notenoughinformation, notenoughinformation"
2738,IMPORTED,81Ravens,,,Strategic / CVC,2020,Singapore,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:21:54,,2025-06-21 20:21:54,,
9393,IS INCOMPLETE,8DAO,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:47,,2025-08-30 18:53:47,,"8DAO, notenoughinformation, notenoughinformation"
8740,IS INCOMPLETE,8i Holdings,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:08,,2025-08-30 18:53:08,,"8i Holdings, notenoughinformation, notenoughinformation"
2494,ENABLED,8SEC,,,Strategic / CVC,2015,France,Western Europe,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-21 20:20:12,,2025-07-17 17:58:06,vsidv1777@gmail.com,"8SEC, FR, Western Europe, https://8sec.games/"
1924,IMPORTED,8th Wall,,,Strategic / CVC,2016,USA,North America,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,2025-06-21 20:16:41,,2025-06-21 20:16:41,,
10259,IS INCOMPLETE,91 Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:35,,2025-08-30 18:54:35,,"91 Ventures, notenoughinformation, notenoughinformation"
9106,IS INCOMPLETE,975 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:31,,2025-08-30 18:53:31,,"975 Capital, notenoughinformation, notenoughinformation"
10599,IS INCOMPLETE,98KDAO,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:56,,2025-08-30 18:54:56,,"98KDAO, notenoughinformation, notenoughinformation"
1747,IMPORTED,9D NFT,,,Strategic / CVC,2021,Vietnam,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:15:43,,2025-06-21 20:15:43,,
734,IMPORTED,9 Lives Interactive,,,Strategic / CVC,2021,Singapore,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,2025-06-21 20:10:17,,2025-06-21 20:10:17,,
9570,IS INCOMPLETE,9Unicorns,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:58,,2025-08-30 18:53:58,,"9Unicorns, notenoughinformation, notenoughinformation"
9053,IS INCOMPLETE,a41 Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:28,,2025-08-30 18:53:28,,"a41 Ventures, notenoughinformation, notenoughinformation"
7844,IS INCOMPLETE,AAG Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,2025-08-30 18:52:17,,2025-08-30 18:52:17,,"AAG Ventures, notenoughinformation, notenoughinformation"
8698,IS INCOMPLETE,Aaron Gray,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:05,,2025-08-30 18:53:05,,"Aaron Gray, notenoughinformation, notenoughinformation"
9664,IS INCOMPLETE,Aave Protocol CEO Stani Kulechov,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:04,,2025-08-30 18:54:04,,"Aave Protocol CEO Stani Kulechov, notenoughinformation, notenoughinformation"
10459,IS INCOMPLETE,Abacus Ventures Growth Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:47,,2025-08-30 18:54:47,,"Abacus Ventures Growth Fund, notenoughinformation, notenoughinformation"
10159,IS INCOMPLETE,ABBALab,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:30,,2025-08-30 18:54:30,,"ABBALab, notenoughinformation, notenoughinformation"
8615,IS INCOMPLETE,ABC Animation,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:00,,2025-08-30 18:53:00,,"ABC Animation, notenoughinformation, notenoughinformation"
9626,IS INCOMPLETE,ABCDE Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:02,,2025-08-30 18:54:02,,"ABCDE Capital, notenoughinformation, notenoughinformation"
9828,IS INCOMPLETE,Abe Burns (Ambridge Capital),,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:14,,2025-08-30 18:54:14,,"Abe Burns (Ambridge Capital), notenoughinformation, notenoughinformation"
290,ENABLED,ABG Sundal Collier,,,Other,1984,Norway,Nordic Countries,Private,,,,Generalist,,,1,2025-04-30 06:25:28,naumvano@gmail.com,2025-04-30 06:25:28,naumvano@gmail.com,
9059,IS INCOMPLETE,ABI,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:53:28,,2025-08-30 18:53:28,,"ABI, notenoughinformation, notenoughinformation"
10285,IS INCOMPLETE,Abidin Gulmus,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:37,,2025-08-30 18:54:37,,"Abidin Gulmus, notenoughinformation, notenoughinformation"
10223,IS INCOMPLETE,Abies Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:33,,2025-08-30 18:54:33,,"Abies Ventures, notenoughinformation, notenoughinformation"
1672,IMPORTED,Abios,,,Strategic / CVC,2000,Sweden,Nordic Countries,Private,Esports,,,Generalist,,,0,2025-06-21 20:15:16,,2025-06-21 20:15:16,,
936,IMPORTED,Abrakadabra Games,,,Strategic / CVC,1996,Turkey,Middle East,Private,Platform & Tech,,,Generalist,,,0,2025-06-21 20:11:05,,2025-06-21 20:11:05,,
1054,IMPORTED,Absolute Sports,,,Strategic / CVC,2009,India,Southern and Central_Asia,Private,Platform & Tech,,,Generalist,,,1,2025-06-21 20:11:33,,2025-06-21 20:11:33,,
1740,IMPORTED,Absolved,,,Strategic / CVC,2019,USA,North America,Private,Esports,,,Generalist,,,0,2025-06-21 20:15:41,,2025-06-21 20:15:41,,
11488,ENABLED,Abstract,,,Strategic / CVC,2014,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,1,2025-08-31 13:24:35,naumvano@gmail.com,2025-08-31 13:24:35,naumvano@gmail.com,"Abstract, US, North America, https://abs.xyz/"
