ID,Status*,Announcement date*,Target Company,"Transaction Size*, $M",Transaction Type*,Transaction Category*,closed date,To be closed,Lead Investor / Acquirer,Other Investors,Source URL*,Description*,Transaction UUID,"Equity Value at Listing, $M",Internal information,signature company,signature date,signature investor,signature deal type,source data,created at
3701,ON APPROVAL,2025-02-24,Unity Software,600.0,Fixed Income,Public offering,2025-02-24,0,Undisclosed,,https://investors.unity.com/news/news-details/2025/Unity-Announces-Pricing-of-Upsized-600.0-Million-Offering-of-Convertible-Senior-Notes/default.aspx,<p>Unity Announces Pricing of Upsized $600.0 Million Offering of Convertible Senior Notes<br>&nbsp;</p>,daaccd97-e9b3-4d98-b34f-0824937fdc50,,<p>&nbsp;</p>,unitysoftware,25february,noleadinvestor,fixedincome,,2025-08-31 13:33:28
3700,ON APPROVAL,2025-06-27,Wolf Game - Wolf Game (IP sale),0.0,M&A control (incl. LBO/MBO),M&A,2025-06-27,0,Abstract,,https://gam3s.gg/news/wolf-game-migrates-to-abstract/,"<p>US-based blockchain company Abstract has acquired the web3 gaming title Wolf Game for an undisclosed sum. The acquisition includes a leadership handover, as Abstract doubles down on blockchain-native</p>",31830c90-9549-4bc3-87e9-0aaead90a576,,<p>&nbsp;</p>,wolfgame-wolfgame(ipsale),25june,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 13:25:48
3699,ON APPROVAL,2025-06-20,Andromeda Insights,0.0,M&A control (incl. LBO/MBO),M&A,2025-06-20,0,B3,,https://gam3s.gg/news/b3-acquires-andromeda-insights/,"<p>US-based web3 gaming network B3 has acquired US-based PC hardware company Andromeda Insights for an undisclosed sum. Andromeda Insights will continue to operate under its existing management team. The acquisition marks B3’s strategic entry into the hardware segment, with both companies set to develop a new PC tailored for crypto users, which stands out for its security features designed explicitly for web3 users. The product is scheduled for release in late 2025, with pre-orders opening in Jul’25.</p>",96d91b94-2f7e-41b4-9e6f-5d1c19b2811f,,<p>&nbsp;</p>,andromedainsights,25june,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 13:10:22
3698,ON APPROVAL,2025-06-18,Playliner,0.0,M&A control (incl. LBO/MBO),M&A,2025-06-18,0,Sensor Tower,,https://venturebeat.com/games/sensor-tower-acquires-playliner-to-expand-mobile-games-data/,"<p>US-based app analytics firm Sensor Tower has acquired Finland-based game analytics platform Playliner for an undisclosed sum. The acquisition aims to enhance Sensor Tower’s analytics capabilities in the mobile gaming industry. Playliner offers developers tools to track and analyze live operations in mobile games. This marks Sensor Tower’s second acquisition in 2025, following its purchase of Video Game Insights in Mar’25.</p>",e2d47794-91f6-4297-aad7-732927711eb1,,<p>&nbsp;</p>,playliner,25june,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 13:02:53
3697,ON APPROVAL,2025-06-18,Nexus Mods,0.0,M&A control (incl. LBO/MBO),M&A,2025-06-18,0,Undisclosed,,https://www.nexusmods.com/news/15301,<p>UK-based gaming modifications website Nexus Mods has been sold to an undisclosed buyer for an unknown amount. Nexus Mods is a website for computer game modifications and other UGC related to video game modding.</p>,f1d79650-7ebd-48a1-a1b0-fecec825ed48,,<p>&nbsp;</p>,nexusmods,25june,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 13:01:01
3696,ON APPROVAL,2025-06-02,The Garden Game - Grow a Garden (IP sale),0.0,M&A minority,M&A,2025-06-02,0,Splitting Point Studios,,https://www.pocketgamer.biz/roblox-game-grow-a-garden-beats-steam-with-record-concurrent-user-high-of-89m/,"<p>New Zealand-based custom Roblox game developer Splitting Point Studios has acquired a stake in Grow a Garden Roblox from solo developer The Garden Game for an undisclosed sum. The company has taken over management of the game. As of the end of May’25, the game reached a concurrent user peak of 7.8 million. The acquisition continues the trend of Roblox UGC-related M&amp;A activity, following the acquisition of Supersocial earlier in May '25.</p>",bbeeead8-8ede-4172-bdce-63873d6fdf33,,<p>&nbsp;</p>,thegardengame-growagarden(ipsale),25june,noleadinvestor,m&aminority,,2025-08-31 12:48:39
3695,ON APPROVAL,2025-05-27,RAC7,0.0,M&A control (incl. LBO/MBO),M&A,2025-05-27,0,Apple,,https://www.digitaltrends.com/gaming/apple-acquires-rac7-sneaky-sasquatch/,"<p>US-based corporation Apple (NASDAQ: AAPL) has acquired Canada-based mobile game developer RAC7 for an undisclosed sum. This marks Apple’s first acquisition of a game development studio and is intended to strengthen the presence of RAC7’s titles within the Apple ecosystem. The studio will continue to operate independently following the acquisition. RAC7, a two-person studio, is best known for developing Sneaky Sasquatch, an Apple Arcade-exclusive title.</p>",fd897d96-189b-49d3-aa64-3e18d0af3994,,<p>&nbsp;</p>,rac7,25may,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 12:46:19
3694,ON APPROVAL,2025-05-13,G Holdings,0.0,M&A control (incl. LBO/MBO),M&A,2025-05-22,0,Gunosy,,https://www.marketscreener.com/quote/stock/GUNOSY-INC-21325102/news/Gunosy-Inc-Completed-the-acquisition-of-G-HOLDINGS-Co-Ltd-50055793/,"<p>Gunosy Inc. (TSE:6047) agreed to acquire G-HOLDINGS Co., Ltd. for ¥1 billion on May 13, 2025. A cash consideration of ¥1 billion will be paid by Gunosy Inc. As part of consideration, ¥1 billion is paid towards common equity of G-HOLDINGS Co., Ltd.</p>",2d2336dc-e400-4ee8-a37d-de7a97a8fd50,,<p>&nbsp;</p>,gholdings,25may,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 12:35:28
3693,ON APPROVAL,2025-05-15,Chibi Clash,0.0,M&A control (incl. LBO/MBO),M&A,2025-05-15,0,Scrypted,,https://finance.yahoo.com/news/scrypted-acquires-chibi-clash-advance-160200447.html,<p>Scrypted Acquires Chibi Clash to Advance AI Agent Powered Gaming</p>,3044fda0-81d0-4e1d-9b3a-26c96945b376,,<p>&nbsp;</p>,chibiclash,25may,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 12:30:23
3692,ON APPROVAL,2025-05-11,Brownies,0.0,M&A control (incl. LBO/MBO),M&A,2025-05-14,0,MUTAN,,https://www.gematsu.com/2025/05/mutan-acquires-brownies#:~:text=MUTAN%20acquires%20Brownies%20%2D%20Gematsu,"<p><span style=""background-color:rgb(255,255,255);color:rgb(51,51,51);font-family:Arial, Helvetica, sans-serif;"">Game developer Brownies announced on May 15 that it has become a subsidiary of another game development company MUTAN, as of May 11. MUTAN's </span><a href=""https://mutan.co.jp/news/item/item0035.php?page=35"">announcement</a><span style=""background-color:rgb(255,255,255);color:rgb(51,51,51);font-family:Arial, Helvetica, sans-serif;""> clarified that its acquisition of Brownies is not the result of management difficulties. MUTAN stated that the acquisition is based on a positive agreement that both companies share in their philosophies and future visions.</span></p>",8416d3b7-7482-479f-ac22-cd2ce6e3dcc2,,<p>&nbsp;</p>,brownies,25may,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 11:44:28
3691,ON APPROVAL,2025-05-13,StudioZ,0.0,M&A control (incl. LBO/MBO),M&A,2025-05-13,0,Boat,,https://www.marketscreener.com/quote/stock/CROOZ-INC-11551128/news/Boat-LLC-agreed-to-acquire-StudioZ-Inc-from-CROOZ-Inc-for-200-million-49959882/,"<p>Boat LLC agreed to acquire StudioZ Inc from CROOZ, Inc. for ¥200 million.</p>",a224c3cf-1b8a-4ba7-a927-2dfd3e636767,,<p>&nbsp;</p>,studioz,25may,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 11:40:17
3690,ON APPROVAL,2025-04-29,RUSH Entertainment - RUSH Entertainment (IP Sale),0.0,M&A control (incl. LBO/MBO),M&A,2025-04-29,0,Sonix,,https://esportsadvocate.net/2025/04/sonix-signs-agreement-to-acquire-rush-entertainment-ag-assets/,<p>SONIX platform Signs Agreement to Acquire RUSH Entertainment AG Assets.</p>,a7e3f284-8512-4b1b-98b6-e60654db38f5,,<p>&nbsp;</p>,rushentertainment-rushentertainment(ipsale),25april,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 11:11:18
3689,IMPORTED,2025-02-04,Voldex,0.0,Growth / Expansion (not specified),Late-stage Investments,2025-02-04,0,The Raine Group,"Makers Fund, MIT, QIA, Shamrock Capital",https://www.gunder.com/en/news-insights/client-news/voldex-library-of-top-games-expands-user-base-with-acquisition-and-equity-and-debt-financings,"Canada-based PC & console UGC platform developer Voldex has acquired the Brookhaven  from UGC content developer Wolfpaq for an undisclosed sum. While the exact valuation remains undisclosed, the estimate is above the $100m mark. Brookhaven is a first-by-popularity game in the roleplay genre and one of the most popular games in Roblox, with 120 million MAU and 60 billion visits since its release in Aprâ20. This deal brings Voldex MAU to 145 million. This acquisition continues Voldexâs expansion activity following its acquisition of the Ultimate Football in Aprâ24. The deal was supported with the Voldex Series B equity financing that was led by Raine Partners with participation from Makers Fund, QIA, MIT, Tirta Ventures, and Lalotte Ventures. The Raine Group's Managing Director will join the Voldex Board of Directors. Additionally, Voldex has secured debt financing led by Shamrock Capital.

Voldex previously secured two funding rounds:

â In Febâ22, Voldex secured $3m in a Seed funding round led by Dune Ventures with participation from Makers Fund, POW! Interactive and other investors;

â In Janâ23, the company secured an undisclosed sum in a Series A funding round led by a16z, with participation from Dune Ventures, Makers Fund, and POW! Interactive.

Voldex's acquisition of the Brookhaven is significant in the UGC gaming sector since it reflects the companyâs continued expansion and strengthens its presence within the Roblox ecosystem.",b8c86161-5e47-4ffb-bc79-08ef7e18834a,,,voldex,25february,noleadinvestor,growth/expansion(notspecified),"Raine Partners (lead) / Makers Fund, QIA, MIT, Shamrock Capital",2025-08-31 08:52:06
3686,IMPORTED,2023-09-15,Series AI,7.9,Seed,Early-stage Investments,2023-09-15,0,,"Andreessen Horowitz, BITKRAFT Ventures, F4 Fund, Siqi Chen Access Fund",https://series.ai/blog/welcome,"US-based AI-powered gaming technology company Series AI has raised $7.9m in a Seed funding round from a16z Games, BITKRAFT, F4 Fund, and the Siqi Chen Access Fund. Series AI is developing AI-powered game authoring tools to accelerate game creation. The company aims to revive innovation in the gaming industry by enabling rapid prototyping and development of new games and game worlds, reducing the time between idea and execution.",2e23ee16-75ad-4f2a-8085-cebad819805a,,,seriesai,23september,noleadinvestor,seed,"Andreessen Horowitz (a16z), BITKRAFT Ventures, F4 Fund, Siqi Chen Access Fund",2025-08-31 08:52:06
3685,IMPORTED,2022-05-19,Triple O Games,1.8,Seed,Early-stage Investments,2022-05-19,0,,"98KDAO, AlphaCoin Fund, Chromia, Crypt2Gem, Grow Your Base Inc, WillyRex",https://news.coincu.com/89251-battle-derby-raise-1-8-million/,"Battle Derby has just finished its $1.8 million private funding round. The event attracted some of the big names in the industry such as Chromia, Grow Your Base Inc., AlphaCoin Fund, Crypt2Gem, 98KDAO, and WillyRex. In addition, the company received a loan from SODECAN and FCF1 for its R&D activities.",22ee5894-7ea5-44a1-8f88-03c19449f199,,,tripleogames,22may,noleadinvestor,seed,"Chromia, Grow Your Base Inc., AlphaCoin Fund, Crypt2Gem, 98KDAO, and WillyRex",2025-08-31 08:52:06
3684,IMPORTED,2022-02-02,Azarus,4.0,Seed,Early-stage Investments,2022-02-02,0,"Animoca Brands, Galaxy Interactive, Kleiner Perkins","Gaingels, Red Beard Ventures","https://venturebeat.com/2022/02/01/azarus-raises-4m-for-league-of-legends-trivia-game-overlay/#:~:text=Azarus%20has%20raised%20%244%20million,in%20an%20interview%20with%20GamesBeat.","US-based platform that gamifies livestreams Azarus has raised $4m in Seed funding. Gaingels, Red Beard Ventures, and others have participated in the round. The funding will be used ââto expand the platformâs presence in the top 10 games on Twitch, develop its fan-based economy, increase the number of streamers and esports partnerships.",8e3d055b-68e9-4058-bc28-51b17bf11dab,,,azarus,22february,noleadinvestor,seed,"Galaxy Interactive, Animoca Brands, Kleiner Perkins (lead) / Gaingels, Red Beard Ventures",2025-08-31 08:52:05
3683,IMPORTED,2024-10-04,Future Run,0.0,Undisclosed Early-stage,Early-stage Investments,2024-10-04,0,Supercell,,https://www.pocketgamer.biz/finnish-developer-future-run-secures-second-round-of-investment-led-by-supercell/,"Finland-based multiplatform games developer Future Run has secured an undisclosed sum in a funding round led by Supercell. The funds will be used for team expansion and the development of the companyâs first title, Riot Ball, a multiplayer sports game. This marks the second investment that Future Run has secured from Supercell since September 2023.",aeb69522-05d8-45d2-a5df-f601133a2bd0,,,futurerun,24october,noleadinvestor,undisclosedearly-stage,Supercell (Tencent),2025-08-31 08:52:05
3682,IMPORTED,2022-04-21,Lost Boys Interactive,0.0,M&A control (incl. LBO/MBO),M&A,2022-04-21,0,"Embracer Group, Gearbox Entertainment",,https://www.gearboxsoftware.com/press_release/the-gearbox-entertainment-company-announces-acquisition-of-lost-boys-interactive/,"Sweden-based gaming giant Embracer (SSE: EMBRAC B) announced the acquisition of US-based PC&console games developer Lost Boys via its US-based subsidiary Gearbox Entertainment. Financial terms of the deal are not disclosed. Lost Boys will continue to operate independently as a Gearbox subsidiary. The acquisition follows the recent release of Tiny Tinaâs Wonderlands which was developed by both companies together and was warmly welcomed both by players and critics as a spin-off of Borderlands franchise. In addition, Lost Boys worked as co-developer on such titles as Call of Duty, ââPUBG and others.",65181854-83f4-41bb-a1d6-16ab86e7692b,,,lostboysinteractive,22april,noleadinvestor,m&acontrol(incl.lbo/mbo),"Embracer Group (STO: EMBRAC B), Gearbox",2025-08-31 08:52:05
3681,IMPORTED,2020-02-10,Bit Fry Game Studios,3.5,Series A,Early-stage Investments,2020-02-10,0,"1Up Ventures, BITKRAFT Ventures",,https://www.prnewswire.com/news-releases/bit-fry-game-studios-secures-3-5-million-investment-from-game-venture-funds-bitkraft-esports-ventures-and-xbox-co-creator-ed-fries-1up-ventures-301003414.html,"Bit Fry Game Studios, a fast-rising arcade-action sports video game developer for all platforms, announced that it continues its strong funding performance with an additional combined $3.5 million from 1Up Ventures, founded by Xbox co-creator Ed Fries, and BITKRAFT Esports Ventures, a leading venture capital fund focused on esports. The capital supports continued growth of Bit Fry's rapidly growing arcade-action sports gaming franchise, Ultimate Rivalsâ¢, which recently had its premiere launch on Apple Arcade.",dcfb88fa-ed18-4557-8d48-16228d3dd018,,,bitfrygamestudios,20february,noleadinvestor,seriesa,"1UP Ventures, BITKRAFT Ventures",2025-08-31 08:52:05
3680,ON APPROVAL,2021-12-20,GDevelop,1.4,Seed,Early-stage Investments,2021-12-20,0,Seedcamp,"Ascension, Foreword.vc, Jabre Capital Partners, Kima Ventures, Secretfund, The Fund",http://notenoughinformation.com,"GDevelop is a game engine that lets you develop a video game without any specific development experience. While the âno-codeâ trend has been quite popular this year, GDevelop has been around for a few years already. The startup has recently raised a $1.4 million funding round led by Seedcamp, with Secretfund, Kima Ventures, Ascension, Jabre Capital Partners, The Fund and Foreword.vc also participating. A few business angels also invested, such as Michael Pennington, Ross Sheil, Emmanuel Nataf, Will Neale and Ian Hogarth.",82762d90-8f4a-4afd-9cf3-ea49991bf1fa,,,gdevelop,21december,noleadinvestor,seed,"Seedcamp / Secretfund, Kima Ventures, Ascension, Jabre Capital Partners, The Fund and Foreword.vc",2025-08-31 08:52:05
3679,IMPORTED,2024-04-24,Puffverse,3.0,Seed,Early-stage Investments,2024-04-24,0,Animoca Brands,"Arcane Group, Foresight Ventures, Hashkey Capital, Sky Mavis, Spartan Group, Xu Family Office",https://gam3s.gg/news/puffverse-leaves-bnb-for-ronin-and-raises-3-million/,"Hong Kong-based web3 games developer Puffverse has raised $3m in funding led by Animoca Brands, with participation from Sky Mavis, Arcane Group, Spartan Group, Foresight Ventures, HashKey Capital, Xu Family Office, and other investors. The funding will fuel the development of its title, PuffGo, and a cloud-owned gaming platform for building NFT metaverses.",b4d4d691-bcf4-470f-932f-f73ef443cfa0,,,puffverse,24april,noleadinvestor,seed,"Animoca Brands (lead) / Sky Mavis, Arcane Group, Spartan Group, Foresight Ventures, HashKey Capital, Xu Family Office",2025-08-31 08:52:05
3678,IMPORTED,2021-11-26,Blockade Games,5.0,Seed,Early-stage Investments,2021-11-26,0,"Animoca Brands, DIGITAL","Drew Austin from Redbeard Ventures, FlamingoDAO, Galaxy Interactive, Keith Grossman from TIME, Meltem Demirors from Coinshares, Roham Gharegozlou from Dapper Labs",https://medium.com/blockadegames/blockade-games-raises-5m-at-23m-valuation-a717dfa78c6a,"US-based blockchain video game studio Blockade Games has raised $5m in Seed funding. The round was co-led by Animoca Brands and Digital. The funding will be used for the development and expansion of the Neon District gaming universe, through the in-game capability development and unique asset releases.",8c5d49fa-e00f-45b0-aa8c-666bafb29ff8,,,blockadegames,21november,noleadinvestor,seed,"Animoca Brands, Digital (lead) / Drew Austin from Redbeard Ventures, Flamingo DAO, Galaxy Interactive, Roham Gharegozlou from Dapper Labs, Keith Grossman from TIME, Meltem Demirors from Coinshares",2025-08-31 08:52:05
3677,IMPORTED,2025-03-25,Uthana,4.3,Seed,Early-stage Investments,2025-03-25,0,IA Ventures,"Acequia Capital, Andreessen Horowitz, Cursor Capital, Hustle Fund, JonesTrauber, MetaVision",https://www.pocketgamer.biz/uthana-raises-43m-with-open-beta-for-ai-powered-animation-platform/,"US-based animation company Uthana has raised $4.3m in a funding round led by IA Ventures, with participation from A16Z Speedrun, Acequia Capital, Cursor Capital, HustleFund, MetaVision, and JonesTrauber. Uthana is developing adaptive AI-generated animations and unscripted interactions for game characters. The company recently launched an open beta of its platform.",bf0d8853-0020-4fd7-9e53-a97cb7a704c2,,,uthana,25march,noleadinvestor,seed,"IA Ventures (lead) / Andreessen Horowitz (a16z) Speedrun, Acequia Capital, Cursor Capital, HustleFund, MetaVision, JonesTrauber",2025-08-31 08:52:05
3676,IMPORTED,2024-12-10,PlayFusion,0.0,M&A control (incl. LBO/MBO),M&A,2024-12-10,0,Build A Rocket Boy,,https://www.gamesindustry.biz/build-a-rocket-boy-acquires-playfusion,"UK-based games developer Build A Rocket Boy has acquired US-based PC & Console games publisher and developer PlayFusion for an undisclosed sum. Build A Rocket Boy is currently working on multiple projects, including the AAA action-adventure MindsEye, the multiplayer gaming platform Everywhere, and the UGC tool Arcadia. Meanwhile, PlayFusion is developing ASCENDANT, an FPS title slated for release at the end of Janâ25. As part of the acquisition, PlayFusion CEO and CTO Mark Gerhard has been appointed co-CEO of Build A Rocket Boy. The acquisition follows a challenging period for Build A Rocket Boy, which experienced layoffs in Febâ24 after raising $110m in a Series D funding round in Janâ24.",843de080-2086-4530-bf99-f606e5760cfc,,,playfusion,24december,noleadinvestor,m&acontrol(incl.lbo/mbo),Build A Rocket Boy (Everywhere),2025-08-31 08:52:05
3675,IMPORTED,2022-02-28,LIV,8.5,Series A,Early-stage Investments,2022-02-28,0,BITKRAFT Ventures,"Amazon's Alexa Fund, Credo Ventures, Olive Tree Capital, Samsung, Sony Innovation Fund",https://nft-bulletin.com/games/civitas-ramps-up-plans-to-build-its-4x-strategy-game-with-a-20m-token-sale/,Yesterday virtual reality livestreaming service LIV announced that it has raised $8.5 million in a Series A funding round.,c3a2ed2d-3333-4310-a3cc-ed18ec89bcf5,,,liv,22february,noleadinvestor,seriesa,"BITKRAFT Ventures (lead) / Sony Innovation Fund, Amazon Alexa Fund, Credo Ventures, Samsung Next, and Olive Tree Capital",2025-08-31 08:52:05
