Date,Year,Quarter,Target name,Investors / Buyers,Type,Category,AI,"Size, $m",% acquired,Sector,Segment,Target's Country,Region,Target Founded,Gender,Target's Website,Short Deal Description,Deal Link,Amount_Status
17/01/2020,2020,Q1'20,Gaming Corps (OM:GCOR),"Findolon AB, Osten Carlsson","PIPE, Other",Public offering,No,2.15,15.1,Gaming,Mobile,Sweden,Western Europe,2014.0,Men,https://www.gamingcorps.com,"Gaming corp has issued new 52,622,155 shares to the lender Findolon AB and the Investor Osten Carlsson at a subscription price of 42 Sek per share.",https://mfn.se/a/gaming-corps/gaming-corps-genomfor-riktad-nyemission-om-22-1-miljoner-kronor,DISCLOSED
18/01/2020,2020,Q1'20,Dataseat,"Play Ventures, Backed.vc, SAATCHiNVEST",Seed round,Early-stage VC,No,2.3,,Platform&Tech,Tech,United Kingdom,Western Europe,2018.0,Men,https://www.dataseat.com/,"Dataseat secures GBP1.75 million Seed investment from Play Ventures, Backed.vc and SAATCHiNVEST",https://www.uktechnews.info/2020/01/21/dataseat-secures-1-75-million-seed-investment-from-play-ventures-backed-vc-and-saatchinvest/,DISCLOSED
20/01/2020,2020,Q1'20,Mindsense Games,BoomBit S.A. (WSE:BBT),Control,M&A,No,0.65,50.0,Gaming,Mobile,Poland,Eastern Europe,2018.0,,https://mindsensegames.com/,"Poland-based mobile games developer and publisher Mindsense Games Sp z o.o. had 50% of its share capital acquired by BoomBit SA for the price of PLN 2,500. The company previously held 50% of the share capital of Mindsense Games sp. z oo. In connection with the transaction, the Company holds shares representing 100% of the share capital of Mindsense Games sp. z oo and 100% % of voting rights.",https://www.bankier.pl/wiadomosc/BOOMBIT-S-A-Nabycie-udzialow-spolki-Mindsense-Games-sp-z-o-o-7806613.html,DISCLOSED
21/01/2020,2020,Q1'20,AppsFlyer ,"General Atlantic (lead) / Qumra Capital, Goldman Sachs Growth, DTCP (Deutsche Telekom Capital Partners), Pitango Venture Capital, Magma Venture Partners",Series D,Late-stage VC,No,210.0,,Platform&Tech,Tech,United States,North America,2011.0,,https://www.appsflyer.com/,AppsFlyer raises $210M for ad attribution and more,https://techcrunch.com/2020/01/21/appsflyer-raises-210m-for-ad-attribution-and-more/?utm_source=dlvr.it&utm_medium=twitter,DISCLOSED
21/01/2020,2020,Q1'20,Kuuhubb,,"PIPE, Other",Public offering,No,2.3,,Gaming,Mobile,Canada,North America,2017.0,Men,https://kuuhubb.com/ ,Kuuhubb Announces Non-Brokered Private Placement of EUR2 Million Convertible Debenture,https://kuuhubb.com/2020/01/21/kuuhubb-announces-non-brokered-private-placement-of-e2-million-convertible-debenture/,DISCLOSED
21/01/2020,2020,Q1'20,Push Gaming,GVC Holdings,Control,M&A,No,0.0,100.0,Gaming,Mobile,United Kingdom,Western Europe,2010.0,Men,https://www.pushgaming.com/about/,Slots and mobile game developer Push Gaming has stressed delight at the firm’s new content agreement after putting pen to paper on a deal to supply GVC Holdings with its full suite of igaming titles.,https://www.casinobeats.com/2020/04/01/push-gaming-agrees-integration-with-gvc-brands/,UNDISCLOSED
21/01/2020,2020,Q1'20,Scout Gaming (OM: SCOUT),"Enlabs (STO: NLAB), Knutsson Holdings, Provobis, Topline Capital","PIPE, Other",Public offering,No,3.81,17.0,Other,Cash-related,Sweden,Western Europe,2013.0,Men,www.scoutgaminggroup.com,"Enlabs has participated in a share issue in Scout Gaming Group AB, listed on Nasdaq First North Growth Market. Enlabs invests SEK 10 million, which gives an ownership of approximately 4.5% of the number of shares in Scout after the completed issue.","https://news.cision.com/scout-gaming-group/r/scout-gaming-group-completes-directed-share-issues-and-receives-proceeds-of-approximately-sek-36-mil,c3014261",DISCLOSED
21/01/2020,2020,Q1'20,Storm8,Stillfront Group (STO: SF),Control,M&A,No,400.0,100.0,Gaming,Mobile,United States,North America,2009.0,Mixed,https://www.storm8.com,"Stillfront Group AB (publ) (""Stillfront"") has today entered into an agreement with the owners of Storm8, Inc. (“Storm8”), a leading mobile mash-up game developer headquartered in California, to acquire 100 percent of the shares in Storm8, for an upfront consideration of USD 300 million and, if certain EBIT levels for the financial years 2020 and 2021 are achieved, an earn-out consideration of up to USD 100 million, on a cash and debt free basis.in Scout after the completed issue.","https://news.cision.com/stillfront-group-ab/r/stillfront-group-acquires-storm8--inc--and-raises-new-financing,c3014145",DISCLOSED
22/01/2020,2020,Q1'20,FoxNext Games,Scopely,Control,M&A,No,250.0,100.0,Gaming,Mobile,United States,North America,2017.0,,www.foxnext.com,"Scopely, the mobile gaming company behind titles like Star Trek: Fleet Command, has acquired FoxNext Games Los Angeles from Disney. Disney acquired FoxNext Games, a relative newcomer among Hollywood studio game divisions, as part of its acquisition of Fox for $71 billion in March 2019.",https://venturebeat.com/2020/01/22/scopely-acquires-disneys-foxnext-games-maker-of-marvel-strike-force/,DISCLOSED
22/01/2020,2020,Q1'20,Stillfront Group (STO: SF),,"PIPE, Other",Public offering,No,137.65,13.0,Gaming,Mobile,Sweden,Western Europe,2010.0,Men,https://www.stillfront.com/en/,"Stillfront conducts directed share issues raising proceeds of SEK 1.3 billion to finance the acquisition of Storm8, Inc. and strengthens future financial flexibility","https://news.cision.com/stillfront-group-ab/r/stillfront-conducts-directed-share-issues-raising-proceeds-of-sek-1-3-billion-to-finance-the-acquisi,c3014326",DISCLOSED
22/01/2020,2020,Q1'20,SuperTree,"Korea Investment Partners, SBI Investment Korea",Series A,Early-stage VC,No,2.5,,Platform&Tech,Blockchain-powered,South Korea,Asia,2017.0,Men,https://supertree.co/,"South Korea-based distributed ledger blockchain game developer SuperTree Co. Ltd. announced today that it has raised $2.5 million in a Series A investment led by Korea Investment Partners, the country’s largest venture capital firm, and SBI Investment Korea.",https://siliconangle.com/2020/01/22/blockchain-game-startup-supertree-nets-2-5m-series-funding/ ,DISCLOSED
22/01/2020,2020,Q1'20,Verve Wireless,Media and Games Invest (XTRA:M8G),Control,M&A,No,6.5,100.0,Platform&Tech,Platform,United States,North America,2005.0,Men,https://verve.com/,"On January 22, 2020, Media and Games Invest plc took over the assets of the business operations and liabilities of Verve Wireless
Inc. via its indirect owned US subsidiary newly established for this purpose, Verve Group Inc. (Verve). Verve Wireless Inc. is a
leading marketing provider of programmatic and open market trafc in Carlsbad, California, USA.",https://mgi.group/wp-content/uploads/2020/09/MGI-Interim-Report-Q1-2020-sec-1.pdf ,DISCLOSED
23/01/2020,2020,Q1'20,MOVEZ AI,DFL Deutsche Fussball Liga GmbH,Minority,M&A,Yes,0.0,,Platform&Tech,Platform,Israel,MENA,2019.0,,https://www.movez.ai/,"Israel-based mobile app start-up MOVEZ AI Ltd., majority-owned by AGT International, saw an acquisition of its minority stake by DFL Deutsche Fussball Liga as part of its “DFL for Equity” investment strategy.",https://www.dfl.de/en/news/next-step-of-dfl-for-equity-investment-strategy-dfl-acquires-shares-in-movez-a-mobile-app-start-up-for-ball-games-and-football-skills-evaluation/,UNDISCLOSED
24/01/2020,2020,Q1'20,ArtCraft Entertainment,,Series A,Early-stage VC,No,11.71,,Gaming,PC&Console,United States,North America,2013.0,Men,www.crowfall.com,"ArtCraft Entertainment has raised $11.7 million to help finish and launch its MMO, Crowfall.",https://venturebeat.com/2020/01/28/crowfall-raises-another-11-9-million-for-its-mmo-venture/,DISCLOSED
24/01/2020,2020,Q1'20,FaZe Clan,"Canaccord Genuity (TSE: CF), Prototype Capital",Series B,Late-stage VC,No,22.7,9.35,Esports,Esports,United States,North America,2010.0,Men,https://fazeclan.com/,FaZe Clan Obtains $22.7M Investment Loan From Canadian Lending Firm,https://esportsobserver.com/faze-clan-23m-investment-loan/,DISCLOSED
24/01/2020,2020,Q1'20,ProGuides,"M13 / Amplify LA, Quest Venture Partners, and the GFR Fund",Seed round,Early-stage VC,No,5.0,,Esports,Esports,United States,North America,2014.0,Men,https://www.proguides.com/,"ProGuides esports company  has secured $5 million in seed funding.  Early-stage consumer technology venture capital firm M13 led the funding round. Other investors include Amplify LA, Quest Venture Partners, and the GFR Fund.",https://venturebeat.com/2020/01/24/proguides-raises-5-million-in-seed-funding-for-its-esports-training-platform/ ,DISCLOSED
26/01/2020,2020,Q1'20,Moon Active,Insight Venture Management,Minority,M&A,No,125.0,10.0,Gaming,Mobile,Israel,MENA,2011.0,Men,https://www.moonactive.com/,New York-based venture capital and private equity firm Insight Partners has bought a 10% stake in Israeli gaming company Moon Active Ltd. according to a company valuation of $1.25 billion,https://www.newsbreak.com/news/1496815090116/insight-partners-pays-125-million-for-a-stake-in-gaming-company-moon-active ,DISCLOSED
28/01/2020,2020,Q1'20,Chrono.gg,"Pace Capital / BLH Venture Partners, Capital Factory, Courtside Ventures, and S3 Ventures",Series A,Early-stage VC,No,5.5,,Platform&Tech,Platform,United States,North America,2015.0,Men,https://www.chrono.gg/,"Online game distribution portal Chrono.gg has raised $5.5 million in funding to continue its business of selling one game at a time and to enable the creation of custom stores for its customers. Pace Capital led the round, with other investors including BLH Venture Partners, Capital Factory, Courtside Ventures, and S3 Ventures.",https://venturebeat.com/2020/01/28/chrono-gg-raises-5-5-million-for-online-games-distribution-portal/ ,DISCLOSED
28/01/2020,2020,Q1'20,eGoGames,"Donato Gonzalez-Sanchez / Francisco Riberas, Jaime Martin-Laborda",Series A,Early-stage VC,No,3.34,,Other,Cash-related,Spain,Western Europe,2017.0,Men,www.egogames.com,"eGoGames has closed a EUR3M EUR ($3.3M USD) Series A investment led by the president of Societe Generale Group, Donato Gonzalez; the president of Gestamp, Francisco Riberas; and Jaime Martin Laborda, founding partner and CEO of Millennial Gaming.. eGoGames was founded by entrepreneurs Alejandro Saez and Baldomero Sanchez. Marcos Eguillor, a co-founder of MAD Lions E.C.; Jaime Martin Laborda, founding partner and CEO of Millennial Gaming; and Alvaro Rodriguez, have since joined the company.",https://esportsobserver.com/egogames-series-a-investment/,DISCLOSED
28/01/2020,2020,Q1'20,P Studios (Prey),FunRock,Control,M&A,No,0.0,70.0,Gaming,Mobile,Sweden,Western Europe,2011.0,Men,www.preystudios.com,"FunRock AB has decided to acquire P Studios AB (Prey), also a portfolio company for Onoterat AB.","https://news.cision.com/se/onoterat-ab/r/onoterat-ab---funrock-ab-forvarvar-p-studios-ab--prey-,c3018977",UNDISCLOSED
28/01/2020,2020,Q1'20,Phoenix Labs,"Sea Ltd (NYSE:SE) (Garena-Tencent, (HKG: 00700))",Control,M&A,No,150.0,100.0,Gaming,PC&Console,Canada,North America,2014.0,Men,www.phxlabs.ca,"Sea Limited digital entertainment arm, Garena, has acquired Phoenix Labs, an acclaimed independent games development company and the studio behind the popular cross-platform co-op action RPG, Dauntless. The teams intend to work together to continue building Phoenix Labs’ world-class development team, supporting the growth of Dauntless, and exploring new opportunities in global markets and on mobile.",https://www.businesswire.com/news/home/20200128005866/en/Sea-Announces-Garena%E2%80%99s-Acquisition-Phoenix-Labs,DISCLOSED
29/01/2020,2020,Q1'20,Coda Platform,London Venture Partners (LVP),Seed round,Early-stage VC,No,4.0,,Gaming,Mobile,United Kingdom,Western Europe,2019.0,Men,www.codaplatform.com,"Coda is a new game-publishing platform that’s promising to make it easier to unlock the creativity of mobile game developer. It has raised $4 million from gaming-focused investment firm London Venture Partners. With this money, Coda plans to expand its team to help build new features for its tools. LVP general partner David Lau-Kee will also join Coda’s board of directors.",https://venturebeat.com/2020/01/29/coda-lvp-seed-funding/,DISCLOSED
29/01/2020,2020,Q1'20,Skybound,"Com2uS Corporation (KOSDAQ:A078340) / C Ventures Fund L.P., Third Wave Digital Partners.",Corporate,Corporate,No,0.0,,Gaming,Mobile,United States,North America,2010.0,Men,www.skybound.com,"Skybound Entertainment has closed a new funding round, led by the South Korean online publisher Com2uS. The round also featured contributions from C Ventures and Third Wave Digital, both of which will ""support Skybound's global expansion.""",https://www.gamesindustry.biz/articles/2020-01-29-com2us-leads-new-investment-round-in-skybound-entertainment,UNDISCLOSED
30/01/2020,2020,Q1'20,Reflection.io,GameRefiner,Control,M&A,No,0.0,100.0,Platform&Tech,Platform,Finland,Western Europe,2013.0,,www.reflection.io,"GameRefinery has acquired UK-based mobile insights specialist Reflection.io for an undisclosed sum. Reflection.io provides download and revenue estimates for iOS and Android games across 35 countries. It is already used by notable games firms such as Square Enix, Sega, Wooga, Miniclip and InnoGames.",https://www.gamesindustry.biz/articles/2020-01-30-gamerefinery-acquires-reflection-io,UNDISCLOSED
31/01/2020,2020,Q1'20,Skinwallet S.A. (WSE:SWT),Carpathia Capital S.A. (WSE:CRC),"PIPE, Other",Public offering,No,0.88,,Platform&Tech,Platform,Poland,Eastern Europe,2008.0,Men,https://www.skinwallet.com/,Poland-based digital goods trading platform developer Skinwallet S.A. has raised PLN 3.4 million and plans to debut on NewConnect in 2020.,http://incsa.pl/en/inc-raised-pln-3-4-million-for-a-tar-heel-capital-pathfinder-group-company/,DISCLOSED
01/02/2020,2020,Q1'20,Even Matchup Gaming,"New Wave Esports (CSE: NWES),",Control,M&A,No,1.23,82.0,Esports,Esports,Canada,North America,2018.0,Men,www.evenmatchup.ca,"New Wave ESports has completed the acquisition of all of the issued and outstanding shares of Even Matchup Gaming Inc. A Toronto-based leading esports and competitive gaming event organizer, broadcaster, and player management company that produces onsite and online tournaments.",https://www.globenewswire.com/news-release/2020/02/10/1982311/0/en/New-Wave-Esports-Completes-Acquisition-of-Even-Matchup-Gaming-Inc.html,DISCLOSED
01/02/2020,2020,Q1'20,Play Magnus,"Cape Capital, Investinor, Myrlid, Tine Pensjonskasse",Series B+,Late-stage VC,No,13.5,28.0,Gaming,Multiplatform,Norway,Western Europe,2013.0,,https://www.playmagnusgroup.com/,"The Norwegian tech company Play Magnus AS has raised NOK 126 million ($13.5 million) in a private placement financing round. Through the private placement backed by existing investors including MP Pensjon PK and Myrlid AS, the Norwegian venture fund Investinor and Swiss Cape Capital AG have each acquired approximately 7% ownership stakes in the company.",https://www.uktech.news/news/play-magnus-raises-$135-million-20200305,DISCLOSED
02/02/2020,2020,Q1'20,Gamelancer,,Seed round,Early-stage VC,No,0.8,,Platform&Tech,Platform,Canada,North America,2019.0,Men,https://gamelancer.com/home,Canada-based streaming platform GameLancer has raised $800k of Seed funding,https://www.sec.gov/Archives/edgar/data/1801816/000180181620000001/xslFormDX01/primary_doc.xml,DISCLOSED
03/02/2020,2020,Q1'20,Kolibri Games,Ubisoft Entertainment,Control,M&A,No,147.0,100.0,Gaming,Mobile,Germany,Western Europe,2016.0,Men,www.kolibrigames.com,"Ubisoft has acquired 75% of Berlin-based developer, Kolibri Games. The studio, known for its experience in the mobile free-to-play space, is one of the leaders of the “idle” games genre and publishes Idle Miner Tycoon, which has been downloaded by more than 104 million players.",https://ubistatic19-a.akamaihd.net/comsite_common/en-US/images/22ubi2020_urd_en_20_06_18_mel_tcm99-362572_tcm99-196733-32.pdf,DISCLOSED
03/02/2020,2020,Q1'20,Shotcall,Techstars,Accelerator/Incubator,Early-stage VC,No,0.02,,Platform&Tech,Platform,United States,North America,2018.0,Men,www.shotcall.gg,Company target is creating meaningful engagement and media opportunities through gaming and streaming,https://www.geekwire.com/2020/techstars-seattle-reveals-10-new-startups-11th-cohort/,DISCLOSED
03/02/2020,2020,Q1'20,Wild Games,Supercell (Tencent),Corporate,Corporate,No,1.1,,Gaming,Mobile,Sweden,Western Europe,2019.0,Men,www.wild-games.se,"Supercell has invested in Wild Games, a Swedish mobile startup led by EA DICE's former head of development. Wild Games was founded in Stockholm last year, but it has been in stealth mode until now. The mobile-focused startup has broken cover to announce that Supercell is onboard as an early investor.",https://www.gamesindustry.biz/articles/2020-02-03-supercell-backs-new-mobile-studio-formed-by-ea-dice-veterans,DISCLOSED
05/02/2020,2020,Q1'20,Elodie Games,"1UP Ventures, Andreessen Horowitz (a16z)",Seed round,Early-stage VC,No,5.0,23.81,Gaming,PC&Console,United States,North America,2019.0,Mixed,www.elodie.games,"Elodie Games is a new game studio coming out of stealth today with $5 million in funding to build crossplay co-op games. The founders are former Riot game developers Christina Norman and David Banks, both of whom worked on the League of Legends franchise and other big projects",https://venturebeat.com/2020/02/05/elodie-games-raises-5-million-for-crossplay-co-op-games/,DISCLOSED
