id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,investor_role
,IMPORTED,TokyoTsushin,TSE:7359,TokyoTsushin (TSE:7359),Strategic / CVC,2015,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"TokyoTsushin, Japan, Eastern Asia",,677,TARGET
,IMPORTED,Top App Games,,,Strategic / CVC,2024,Cyprus,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,1,05/09/2025 01:23,,05/09/2025 01:23,,"Top App Games, Cyprus, Middle East",https://www.topapp.games/,3789,TARGET
,TO BE ENRICHED,Toppan Printing,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Toppan Printing,,3055,participant
,IMPORTED,Tosby Games,,,Strategic / CVC,2020,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Tosby Games, Turkey, Middle East",,914,TARGET
,TO BE ENRICHED,Tower 26,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Tower 26,,"2455, 2882","lead, participant"
,IMPORTED,Towerlands (IP sale),,,Strategic / CVC,2020,notenoughinformation,,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Towerlands (IP sale), notenoughinformation",https://apps.apple.com/nl/app/towerlands-tower-defense-td/id1491901979,4119,TARGET
,IMPORTED,Toydium,,,Strategic / CVC,2019,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Toydium, Japan, Eastern Asia",https://toydium.co.jp/index_en,3594,TARGET
,ENABLED,Tradelite Solutions,Tradelite Solutions GmbH,,Strategic / CVC,2020,Germany,Western Europe,Private,Other,Cash-related,Cash/Skill-based/RMG,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Tradelite Solutions, Germany, Western Europe",,687,TARGET
,IMPORTED,Trailmix,,,Strategic / CVC,2017,United Kingdom,British Isles,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Trailmix, United Kingdom, British Isles",https://www.trailmixgames.com/,2112,TARGET
,TO BE ENRICHED,Transcend Fund,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Transcend Fund,,"2785, 3248","lead, lead"
,TO BE ENRICHED,Tribe Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Tribe Capital,,2062,participant
,TO BE ENRICHED,Tribe Capital (lead),,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Tribe Capital (lead),,3358,lead
,TO BE ENRICHED,Trifecta Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Trifecta Capital,,2819,participant
,TO BE ENRICHED,Trinito,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Trinito,,2491,participant
,ENABLED,Triple O Games,"Triple O Studios, Battle Derby",Triple O Studios (Battle Derby),Strategic / CVC,2019,Spain,Southern Europe,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Triple O Games, Spain, Southern Europe",,955,TARGET
,TO BE ENRICHED,Triple Point Ventures,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Triple Point Ventures,,"2677, 4072","participant, participant"
,TO BE ENRICHED,Triptyq Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Triptyq Capital,,2823,participant
,IMPORTED,Triternion,,,Strategic / CVC,2017,Slovenia,Southern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Triternion, Slovenia, Southern Europe",https://triternion.com/,2336,TARGET
,IMPORTED,Triumph,,,Strategic / CVC,2020,USA,North America,Private,Other,Cash-related,Cash/Skill-based/RMG,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Triumph, USA, North America",https://triumpharcade.com/,2802,TARGET
,IMPORTED,Trophy Games,CPSE:TGAMES,Trophy Games (CPSE:TGAMES),Strategic / CVC,2006,Denmark,Nordic Countries,Private,Other,Cash-related,Cash/Skill-based/RMG,Generalist,,,4,05/09/2025 01:23,,05/09/2025 01:23,,"Trophy Games, Denmark, Nordic Countries",,966,TARGET
,IMPORTED,True Gamers,,,Strategic / CVC,2019,United Arab Emirates,Middle East,Private,Esports,Esports,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"True Gamers, United Arab Emirates, Middle East",https://truegamers.world/,4005,TARGET
,TO BE ENRICHED,True Global Venture,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,True Global Venture,,3450,participant
,TO BE ENRICHED,True Global Ventures,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,True Global Ventures,,2348,lead
,IMPORTED,Trufan,,,Strategic / CVC,2018,Canada,North America,Private,Platform & Tech,Platform,,Generalist,,,1,05/09/2025 01:23,,05/09/2025 01:23,,"Trufan, Canada, North America",,896,TARGET
,TO BE ENRICHED,Tull Investment Group,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Tull Investment Group,,1033,participant
,IMPORTED,Tunga Games,,,Strategic / CVC,2019,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Tunga Games, Turkey, Middle East",https://tungagames.com/,3078,TARGET
,IMPORTED,Twenty Eleven,,,Strategic / CVC,2011,Japan,Asia,Private,Platform & Tech,Platform & Tech,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Twenty Eleven, Japan, Asia",http://2011.co.jp/,3970,TARGET
,TO BE ENRICHED,Twin Path Ventures,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Twin Path Ventures,,4150,lead
,IMPORTED,Twisted Pixel,,,Strategic / CVC,2006,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Twisted Pixel, USA, North America",http://www.TwistedPixelGames.com,2391,TARGET
,IMPORTED,Tworogue Games,,,Strategic / CVC,2016,Cyprus,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Tworogue Games, Cyprus, Middle East",,1367,TARGET
,IMPORTED,UTA Acquisition,,UTA Acquisition Corporation,Strategic / CVC,2021,USA,North America,Private,Other,Other,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"UTA Acquisition, USA, North America",,1594,TARGET
,IMPORTED,"Ubisoft - Cold Fear, I Am Alive, Child of Eden, Grow Home, Grow Up (IP Sale)",,,Strategic / CVC,2005,France,Western Europe,Private,Gaming (Content & Development Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Ubisoft - Cold Fear, I Am Alive, Child of Eden, Grow Home, Grow Up (IP Sale), France, Western Europe",https://www.businesswire.com/news/home/20250826081788/en/Atari-Announces-Strategic-IP-Agreement-With-Ubisoft-To-Revive-Five-Acclaimed-Titles,4170,TARGET
,ENABLED,Ubisoft Entertainment,,,Strategic / CVC,1986,France,Western Europe,Public,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,11,05/09/2025 01:23,,05/09/2025 01:23,,"Ubisoft Entertainment, France, Western Europe",http://www.ubisoft.com,"583, 3092","TARGET, TARGET"
,IMPORTED,Ubitus,,,Strategic / CVC,2013,China,Eastern Asia,Private,Platform & Tech,Tech,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Ubitus, China, Eastern Asia",http://www.ubitus.net/en/index.html,"902, 3281","TARGET, TARGET"
,IMPORTED,Ultimate Endgamers League,,,Strategic / CVC,2020,USA,North America,Private,Esports,Esports,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Ultimate Endgamers League, USA, North America",https://ultimateendgamersleague.com/,3123,TARGET
,IS INCOMPLETE,Ultra,,,TestType,1800,notenoughinformation,notenoughinformation,Private,Platform&Tech,Blockchain-powered,,Generalist,,,1,05/09/2025 01:23,,05/09/2025 01:23,,"Ultra, notenoughinformation, notenoughinformation",https://ultra.io/,3977,TARGET
,TO BE ENRICHED,Ultra,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Ultra,,2799,participant
,IMPORTED,Umuro Game,,Umuro,Strategic / CVC,2017,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Umuro Game, Turkey, Middle East",https://umuro.net/,2459,TARGET
,IMPORTED,Unchained Entertainment,City State Entertainment,"Unchained Entertainment (ex City State Entertainment),City State Entertainment",Strategic / CVC,2011,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Unchained Entertainment, USA, North America",http://CityStateEntertainment.com,2480,TARGET
366,ENABLED,Undisclosed,,Undisclosed company,Venture Capital & Accelerators,1900,USA,North America,Private,,,,Generalist,0,,36,04/05/2025 10:43,naumvano@gmail.com,04/05/2025 10:43,naumvano@gmail.com,,,"4, 16, 28, 33, 37, 50, 51, 68, 70, 76, 88, 94, 95, 109, 128, 137, 146, 151, 157, 164, 177, 199, 208, 210, 211, 218, 233, 239, 241, 246, 257, 274, 287, 290, 298, 302, 308, 309, 311, 313, 316, 330, 332, 336, 339, 340, 350, 365, 366, 367, 372, 374, 381, 386, 391, 395, 400, 402, 413, 420, 423, 428, 429, 434, 435, 454, 455, 456, 457, 458, 459, 464, 467, 478, 482, 487, 489, 490, 492, 494, 495, 501, 506, 523, 535, 536, 542, 548, 551, 552, 555, 559, 561, 577, 583, 584, 586, 592, 602, 614, 618, 628, 640, 653, 656, 661, 666, 672, 677, 687, 694, 695, 698, 702, 707, 711, 717, 731, 743, 761, 766, 771, 778, 788, 789, 797, 801, 807, 808, 815, 822, 825, 836, 841, 844, 849, 852, 865, 867, 878, 879, 881, 883, 884, 886, 890, 896, 901, 906, 908, 909, 914, 917, 918, 920, 921, 928, 933, 938, 939, 942, 944, 955, 961, 966, 969, 970, 981, 986, 988, 1004, 1006, 1009, 1012, 1016, 1036, 1038, 1042, 1051, 1060, 1070, 1084, 1094, 1101, 1103, 1105, 1132, 1133, 1138, 1161, 1164, 1170, 1172, 1186, 1203, 1253, 1296, 1312, 1321, 1338, 1341, 1344, 1422, 1435, 1459, 1467, 1514, 1522, 1541, 1542, 1547, 1571, 1582, 1584, 1585, 1588, 1594, 1613, 1616, 1631, 1635, 1698, 1725, 1752, 1768, 1769, 1782, 1791, 1793, 1818, 1847, 1849, 1859, 1886, 1896, 1923, 1965, 1971, 1973, 1974, 1982, 2003, 2021, 2057, 2078, 2096, 2098, 2106, 2107, 2114, 2116, 2129, 2158, 2169, 2175, 2177, 2198, 2213, 2236, 2262, 2272, 2353, 2354, 2358, 2365, 2366, 2369, 2396, 2409, 2415, 2431, 2449, 2459, 2472, 2480, 2485, 2489, 2491, 2496, 2510, 2511, 2513, 2518, 2522, 2540, 2549, 2575, 2602, 2606, 2607, 2613, 2624, 2633, 2642, 2653, 2656, 2662, 2681, 2683, 2690, 2692, 2695, 2696, 2736, 2738, 2757, 2777, 2780, 2781, 2782, 2784, 2788, 2790, 2795, 2797, 2798, 2799, 2807, 2808, 2810, 2811, 2829, 2832, 2844, 2846, 2849, 2856, 2884, 2888, 2889, 2891, 2915, 2917, 2931, 2940, 2946, 2964, 2978, 2982, 2992, 2997, 3004, 3005, 3015, 3025, 3033, 3039, 3049, 3055, 3070, 3092, 3100, 3102, 3105, 3110, 3119, 3121, 3123, 3126, 3131, 3132, 3134, 3136, 3139, 3140, 3142, 3148, 3150, 3182, 3188, 3209, 3217, 3229, 3232, 3242, 3250, 3260, 3262, 3263, 3269, 3283, 3286, 3287, 3288, 3290, 3304, 3328, 3332, 3333, 3335, 3338, 3345, 3346, 3353, 3365, 3379, 3389, 3394, 3396, 3404, 3419, 3423, 3429, 3439, 3442, 3460, 3462, 3468, 3470, 3497, 3506, 3508, 3511, 3513, 3523, 3525, 3526, 3527, 3530, 3538, 3541, 3550, 3558, 3561, 3565, 3566, 3569, 3575, 3596, 3608, 3640, 3643, 3655, 3662, 3670, 3675, 3684, 3691, 3694, 3718, 3722, 3741, 3750, 3761, 3767, 3769, 3770, 3773, 3788, 3789, 3805, 3808, 3813, 3819, 3824, 3827, 3847, 3848, 3854, 3858, 3909, 3912, 3923, 3929, 3933, 3937, 3941, 3946, 3962, 3964, 3982, 3983, 3990, 4005, 4022, 4034, 4059, 4062, 4071, 4095, 4116, 4132, 4137, 4138, 4141, 4143, 4158, 4177, 4178, 4180, 4183, 4184","lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead, lead"
